country,iso3,who_region,syndrome,total_cases,total_deaths,first_year,last_year,peak_year_cases,mean_annual_cases,mean_cfr,overall_cfr
Argentina,ARG,AMRO,HPS,3292,833,1993,2026,202,96.8,0.2631,0.253
Belgium,BEL,EURO,HFRS,3738,0,1993,2026,179,109.9,0.0021,0.0
Bolivia,BOL,AMRO,HPS,390,120,1993,2026,24,11.5,0.3329,0.3077
Brazil,BRA,AMRO,HPS,2201,808,1993,2026,141,64.7,0.3766,0.3671
Canada,CAN,AMRO,HPS,119,22,1993,2026,9,3.5,0.3234,0.1849
Chile,CHL,AMRO,HPS,1562,488,1993,2026,108,45.9,0.3203,0.3124
China,CHN,WPRO,HFRS,309550,9532,1993,2026,14377,9104.4,0.0307,0.0308
Colombia,COL,AMRO,HPS,113,22,1993,2026,8,3.3,0.3244,0.1947
Costa Rica,CRI,AMRO,HPS,65,3,1993,2026,4,1.9,0.2733,0.0462
Croatia,HRV,EURO,HFRS,2109,65,1993,2026,106,62.0,0.0368,0.0308
Finland,FIN,EURO,HFRS,48215,110,1993,2026,2492,1418.1,0.0028,0.0023
France,FRA,EURO,HFRS,2723,0,1993,2026,141,80.1,0.0024,0.0
Germany,DEU,EURO,HFRS,24572,49,1993,2026,1427,722.7,0.0026,0.002
Greece,GRC,EURO,HFRS,550,7,1993,2026,26,16.2,0.0379,0.0127
Japan,JPN,WPRO,HFRS,326,0,1993,2026,17,9.6,0.0185,0.0
Panama,PAN,AMRO,HPS,617,186,1993,2026,46,18.1,0.3267,0.3015
Paraguay,PRY,AMRO,HPS,542,149,1993,2026,35,15.9,0.3065,0.2749
Russia,RUS,EURO,HFRS,238276,5608,1993,2026,12559,7008.1,0.0235,0.0235
Slovenia,SVN,EURO,HFRS,1502,20,1993,2026,71,44.2,0.0255,0.0133
South Korea,KOR,WPRO,HFRS,13576,256,1993,2026,644,399.3,0.0196,0.0189
Sweden,SWE,EURO,HFRS,7664,4,1993,2026,352,225.4,0.0025,0.0005
Taiwan,TWN,WPRO,HFRS,269,0,1993,2026,13,7.9,0.0246,0.0
USA,USA,AMRO,HPS,855,281,1993,2026,58,25.1,0.3528,0.3287
United Kingdom,GBR,EURO,HFRS,329,0,1993,2026,17,9.7,0.0186,0.0
Uruguay,URY,AMRO,HPS,188,34,1993,2026,12,5.5,0.2822,0.1809
